A,B,C
2020?2?27?,1.644,-2.78%
2020?2?26?,1.691,-6.68%
2020?2?25?,1.812,2.55%
2020?2?24?,1.767,4.49%
2020?2?21?,1.691,1.99%
2020?2?20?,1.658,2.54%
2020?2?19?,1.617,-0.61%
2020?2?18?,1.627,3.50%
2020?2?17?,1.572,2.28%
2020?2?14?,1.537,-0.71%
2020?2?13?,1.548,3.34%
2020?2?12?,1.498,2.81%
2020?2?11?,1.457,1.96%
2020?2?10?,1.429,-2.86%
2020?2?7?,1.471,3.16%
2020?2?6?,1.426,2.37%
2020?2?5?,1.393,0.07%
2020?2?4?,1.392,5.69%
2020?2?3?,1.317,-8.48%
2020?1?31?,1.439,0.00%
2020?1?30?,1.439,0.00%
2020?1?29?,1.439,0.00%
2020?1?28?,1.439,0.00%
2020?1?27?,1.439,0.00%
2020?1?24?,1.439,0.00%
2020?1?23?,1.439,-3.23%
2020?1?22?,1.487,3.19%
2020?1?21?,1.441,0.77%
2020?1?20?,1.43,4.15%
2020?1?17?,1.373,-0.22%
2020?1?16?,1.376,0.07%
2020?1?15?,1.375,1.55%
2020?1?14?,1.354,-2.38%
2020?1?13?,1.387,5.64%
2020?1?10?,1.313,2.74%
2020?1?9?,1.278,3.48%
2020?1?8?,1.235,-0.72%
2020?1?7?,1.244,-0.40%
2020?1?6?,1.249,-0.32%
2020?1?3?,1.253,-1.73%
2020?1?2?,1.275,2.57%
2020?1?1?,1.243,0.00%
2019?12?31?,1.243,-0.08%
2019?12?30?,1.244,0.00%
2019?12?27?,1.244,-3.42%
2019?12?26?,1.288,-1.75%
2019?12?25?,1.311,3.64%
2019?12?24?,1.265,3.18%
2019?12?23?,1.226,-3.01%
2019?12?20?,1.264,-1.40%
2019?12?19?,1.282,-3.32%
2019?12?18?,1.326,0.91%
2019?12?17?,1.314,0.15%
2019?12?16?,1.312,1.63%
2019?12?13?,1.291,0.08%
2019?12?12?,1.29,1.02%
2019?12?11?,1.277,-0.55%
2019?12?10?,1.284,2.64%
2019?12?9?,1.251,0.97%
2019?12?6?,1.239,2.57%
2019?12?5?,1.208,1.09%
2019?12?4?,1.195,0.50%
2019?12?3?,1.189,3.84%
2019?12?2?,1.145,2.60%
2019?11?29?,1.116,-0.45%
2019?11?28?,1.121,-0.18%
2019?11?27?,1.123,3.41%
2019?11?26?,1.086,2.16%
2019?11?25?,1.063,-3.28%
2019?11?22?,1.099,-3.43%
2019?11?21?,1.138,0.26%
2019?11?20?,1.135,-1.30%
2019?11?19?,1.15,1.50%
2019?11?18?,1.133,-1.39%
2019?11?15?,1.149,0.26%
2019?11?14?,1.146,1.96%
2019?11?13?,1.124,4.17%
2019?11?12?,1.079,-0.55%
2019?11?11?,1.085,-1.18%
2019?11?8?,1.098,0.09%
2019?11?7?,1.097,1.01%
2019?11?6?,1.086,-2.60%
2019?11?5?,1.115,2.86%
2019?11?4?,1.084,2.26%
2019?11?1?,1.06,0.76%
2019?10?31?,1.052,-1.13%
2019?10?30?,1.064,2.21%
2019?10?29?,1.041,-3.07%
2019?10?28?,1.074,3.47%
2019?10?25?,1.038,1.96%
2019?10?24?,1.018,-0.68%
2019?10?23?,1.025,-1.06%
2019?10?22?,1.036,3.39%
2019?10?21?,1.002,-0.30%
2019?10?18?,1.005,-2.43%
2019?10?17?,1.03,0.49%
2019?10?16?,1.025,-0.49%
2019?10?15?,1.03,-2.92%
2019?10?14?,1.061,3.51%
2019?10?11?,1.025,-0.97%
2019?10?10?,1.035,2.07%
2019?10?9?,1.014,1.60%
2019?10?8?,0.998,-1.77%
2019?10?7?,1.016,0.00%
2019?10?4?,1.016,0.00%
2019?10?3?,1.016,0.00%
2019?10?2?,1.016,0.00%
2019?10?1?,1.016,0.00%
2019?9?30?,1.016,-2.31%
2019?9?27?,1.04,1.27%
2019?9?26?,1.027,-5.00%
2019?9?25?,1.081,-3.83%
2019?9?24?,1.124,-1.58%
2019?9?23?,1.142,3.63%
2019?9?20?,1.102,2.70%
2019?9?19?,1.073,2.19%
2019?9?18?,1.05,-0.76%
2019?9?17?,1.058,-1.86%
2019?9?16?,1.078,1.22%
2019?9?13?,1.065,0.00%
2019?9?12?,1.065,-0.19%
2019?9?11?,1.067,-0.93%
2019?9?10?,1.077,-2.62%
2019?9?9?,1.106,5.43%
2019?9?6?,1.049,-0.57%
2019?9?5?,1.055,1.05%
2019?9?4?,1.044,0.77%
2019?9?3?,1.036,4.23%
2019?9?2?,0.994,6.77%
2019?8?30?,0.931,-1.06%
2019?8?29?,0.941,5.02%
2019?8?28?,0.896,-0.11%
2019?8?27?,0.897,2.63%
2019?8?26?,0.874,0.11%
2019?8?23?,0.873,0.23%
2019?8?22?,0.871,-1.58%
2019?8?21?,0.885,2.31%
2019?8?20?,0.865,0.23%
2019?8?19?,0.863,5.37%
2019?8?16?,0.819,0.74%
2019?8?15?,0.813,1.75%
2019?8?14?,0.799,-0.50%
2019?8?13?,0.803,-0.50%
2019?8?12?,0.807,4.26%
2019?8?9?,0.774,-1.02%
2019?8?8?,0.782,1.56%
2019?8?7?,0.77,-1.41%
2019?8?6?,0.781,-1.88%
2019?8?5?,0.796,0.38%
2019?8?2?,0.793,-0.38%
2019?8?1?,0.796,0.25%
2019?7?31?,0.794,0.13%
2019?7?30?,0.793,-0.88%
2019?7?29?,0.8,0.88%
2019?7?26?,0.793,-1.25%
2019?7?25?,0.803,1.65%
2019?7?24?,0.79,2.46%
2019?7?23?,0.771,1.18%
2019?7?22?,0.762,-0.13%
2019?7?19?,0.763,0.13%
2019?7?18?,0.762,-2.56%
2019?7?17?,0.782,-0.13%
2019?7?16?,0.783,0.90%
2019?7?15?,0.776,4.02%
2019?7?12?,0.746,-0.27%
2019?7?11?,0.748,-0.93%
2019?7?10?,0.755,0.40%
2019?7?9?,0.752,0.94%
2019?7?8?,0.745,-4.36%
2019?7?5?,0.779,0.65%
2019?7?4?,0.774,-0.13%
2019?7?3?,0.775,-2.88%
2019?7?2?,0.798,-1.85%
2019?7?1?,0.813,3.96%
2019?6?30?,0.782,0.00%
2019?6?28?,0.782,-1.51%
2019?6?27?,0.794,1.93%
2019?6?26?,0.779,-0.76%
2019?6?25?,0.785,-1.38%
2019?6?24?,0.796,-1.12%
2019?6?21?,0.805,3.21%
2019?6?20?,0.78,1.56%
2019?6?19?,0.768,1.72%
2019?6?18?,0.755,-0.26%
2019?6?17?,0.757,-1.43%
2019?6?14?,0.768,-2.91%
2019?6?13?,0.791,-0.25%
2019?6?12?,0.793,0.89%
2019?6?11?,0.786,3.29%
2019?6?10?,0.761,1.47%
2019?6?7?,0.75,0.00%
2019?6?6?,0.75,-2.85%
2019?6?5?,0.772,-0.77%
2019?6?4?,0.778,-2.38%
2019?6?3?,0.797,0.38%
2019?5?31?,0.794,0.38%
2019?5?30?,0.791,-2.83%
2019?5?29?,0.814,0.00%
2019?5?28?,0.814,0.87%
2019?5?27?,0.807,4.81%
2019?5?24?,0.77,-2.90%
2019?5?23?,0.793,-5.03%
2019?5?22?,0.835,3.34%
2019?5?21?,0.808,1.38%
2019?5?20?,0.797,3.24%
2019?5?17?,0.772,-2.28%
2019?5?16?,0.79,-1.50%
2019?5?15?,0.802,1.52%
2019?5?14?,0.79,-0.88%
2019?5?13?,0.797,-0.25%
2019?5?10?,0.799,6.68%
2019?5?9?,0.749,0.13%
2019?5?8?,0.748,0.40%
2019?5?7?,0.745,-0.27%
2019?5?6?,0.747,-6.04%
2019?5?3?,0.795,0.00%
2019?5?2?,0.795,0.00%
2019?5?1?,0.795,0.00%
2019?4?30?,0.795,-1.97%
2019?4?29?,0.811,-5.04%
2019?4?26?,0.854,-0.58%
2019?4?25?,0.859,-4.13%
2019?4?24?,0.896,2.99%
2019?4?23?,0.87,-3.55%
2019?4?22?,0.902,-1.64%
2019?4?19?,0.917,0.11%
2019?4?18?,0.916,-0.87%
2019?4?17?,0.924,0.33%
2019?4?16?,0.921,2.68%
2019?4?15?,0.897,-0.55%
2019?4?12?,0.902,-0.77%
2019?4?11?,0.909,-3.71%
2019?4?10?,0.944,-0.21%
2019?4?9?,0.946,-0.73%
2019?4?8?,0.953,-3.64%
2019?4?5?,0.989,0.00%
2019?4?4?,0.989,2.17%
2019?4?3?,0.968,-0.31%
2019?4?2?,0.971,0.62%
2019?4?1?,0.965,5.35%
2019?3?29?,0.916,2.69%
2019?3?28?,0.892,-3.15%
2019?3?27?,0.921,-1.92%
2019?3?26?,0.939,-1.57%
2019?3?25?,0.954,0.53%
2019?3?22?,0.949,0.32%
2019?3?21?,0.946,1.83%
2019?3?20?,0.929,-0.96%
2019?3?19?,0.938,3.99%
2019?3?18?,0.902,1.69%
2019?3?15?,0.887,-1.11%
2019?3?14?,0.897,-2.07%
2019?3?13?,0.916,-5.08%
2019?3?12?,0.965,2.66%
2019?3?11?,0.94,0.64%
2019?3?8?,0.934,2.30%
2019?3?7?,0.913,2.58%
2019?3?6?,0.89,2.30%
2019?3?5?,0.87,5.07%
2019?3?4?,0.828,2.35%
2019?3?1?,0.809,0.62%
2019?2?28?,0.804,-0.12%
2019?2?27?,0.805,-0.86%
2019?2?26?,0.812,0.12%
2019?2?25?,0.811,7.28%
2019?2?22?,0.756,5.00%
2019?2?21?,0.72,0.14%
2019?2?20?,0.719,-1.24%
2019?2?19?,0.728,0.55%
2019?2?18?,0.724,4.02%
2019?2?15?,0.696,-1.14%
2019?2?14?,0.704,0.72%
2019?2?13?,0.699,2.95%
2019?2?12?,0.679,-0.15%
2019?2?11?,0.68,3.66%
2019?2?8?,0.656,0.00%
2019?2?7?,0.656,0.00%
2019?2?6?,0.656,0.00%
